code,system
C373300,readv2
C373G00,readv2
G557000,readv2
G557011,readv2
G558400,readv2
F391B00,readv2
G558100,readv2
G558200,readv2
G343.00,readv2
G550.00,readv2
G552.00,readv2
G554100,readv2
G554500,readv2
G554511,readv2
G558000,readv2
G558z00,readv2
G559.00,readv2
G55A.11,readv2
G55y.00,readv2
G55y000,readv2
G55z.00,readv2
Gyu5N00,readv2
100966.0,med
101015.0,med
102955.0,med
104529.0,med
104658.0,med
105398.0,med
105651.0,med
105798.0,med
15990.0,med
20035.0,med
21852.0,med
22993.0,med
27683.0,med
30667.0,med
3204.0,med
40834.0,med
41488.0,med
42043.0,med
44272.0,med
49844.0,med
55850.0,med
56635.0,med
57306.0,med
58938.0,med
64673.0,med
64837.0,med
68685.0,med
70855.0,med
7320.0,med
92266.0,med
97617.0,med
97780.0,med
98020.0,med
98634.0,med
G55..00,readv2
G558.00,readv2
G554.00,readv2
G554z00,readv2
G554200,readv2
G557.00,readv2
G557z00,readv2
G557100,readv2
G557500,readv2
Gyu5P00,readv2
Gyu5R00,readv2
I25.5,icd10
I42.3,icd10
I42.5,icd10
I42.7,icd10
I42.8,icd10
I42.9,icd10
I43,icd10
